date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,weather_event_count,year,month,day,hour,day_of_week,day_name,month_name,week_of_year,is_weekend,is_holiday,is_morning_rush_hour,is_evening_rush_hour,temp_celsius,temp_fahrenheit
2012-10-02 09:00:00,None,288.28,0.0,0.0,40,Clouds,scattered clouds,5545,1,2012,10,2,9,1,Tuesday,October,40,0,0,1,0,15.13,59.23
2012-10-02 10:00:00,None,289.36,0.0,0.0,75,Clouds,broken clouds,4516,1,2012,10,2,10,1,Tuesday,October,40,0,0,0,0,16.21,61.18
2012-10-02 11:00:00,None,289.58,0.0,0.0,90,Clouds,overcast clouds,4767,1,2012,10,2,11,1,Tuesday,October,40,0,0,0,0,16.43,61.57
2012-10-02 12:00:00,None,290.13,0.0,0.0,90,Clouds,overcast clouds,5026,1,2012,10,2,12,1,Tuesday,October,40,0,0,0,0,16.98,62.56
2012-10-02 13:00:00,None,291.14,0.0,0.0,75,Clouds,broken clouds,4918,1,2012,10,2,13,1,Tuesday,October,40,0,0,0,0,17.99,64.38
2012-10-02 14:00:00,None,291.72,0.0,0.0,1,Clear,sky is clear,5181,1,2012,10,2,14,1,Tuesday,October,40,0,0,0,0,18.57,65.43
2012-10-02 15:00:00,None,293.17,0.0,0.0,1,Clear,sky is clear,5584,1,2012,10,2,15,1,Tuesday,October,40,0,0,0,1,20.02,68.04
2012-10-02 16:00:00,None,293.86,0.0,0.0,1,Clear,sky is clear,6015,1,2012,10,2,16,1,Tuesday,October,40,0,0,0,1,20.71,69.28
2012-10-02 17:00:00,None,294.14,0.0,0.0,20,Clouds,few clouds,5791,1,2012,10,2,17,1,Tuesday,October,40,0,0,0,1,20.99,69.78
2012-10-02 18:00:00,None,293.1,0.0,0.0,20,Clouds,few clouds,4770,1,2012,10,2,18,1,Tuesday,October,40,0,0,0,1,19.95,67.91
2012-10-02 19:00:00,None,290.97,0.0,0.0,20,Clouds,few clouds,3539,1,2012,10,2,19,1,Tuesday,October,40,0,0,0,0,17.82,64.08
2012-10-02 20:00:00,None,289.38,0.0,0.0,1,Clear,sky is clear,2784,1,2012,10,2,20,1,Tuesday,October,40,0,0,0,0,16.23,61.21
2012-10-02 21:00:00,None,288.61,0.0,0.0,1,Clear,sky is clear,2361,1,2012,10,2,21,1,Tuesday,October,40,0,0,0,0,15.46,59.83
2012-10-02 22:00:00,None,287.16,0.0,0.0,1,Clear,sky is clear,1529,1,2012,10,2,22,1,Tuesday,October,40,0,0,0,0,14.01,57.22
2012-10-02 23:00:00,None,285.45,0.0,0.0,1,Clear,sky is clear,963,1,2012,10,2,23,1,Tuesday,October,40,0,0,0,0,12.3,54.14
2012-10-03 00:00:00,None,284.63,0.0,0.0,1,Clear,sky is clear,506,1,2012,10,3,0,2,Wednesday,October,40,0,0,0,0,11.48,52.66
2012-10-03 01:00:00,None,283.47,0.0,0.0,1,Clear,sky is clear,321,1,2012,10,3,1,2,Wednesday,October,40,0,0,0,0,10.32,50.58
2012-10-03 02:00:00,None,281.18,0.0,0.0,1,Clear,sky is clear,273,1,2012,10,3,2,2,Wednesday,October,40,0,0,0,0,8.03,46.45
2012-10-03 03:00:00,None,281.09,0.0,0.0,1,Clear,sky is clear,367,1,2012,10,3,3,2,Wednesday,October,40,0,0,0,0,7.94,46.29
2012-10-03 04:00:00,None,279.53,0.0,0.0,1,Clear,sky is clear,814,1,2012,10,3,4,2,Wednesday,October,40,0,0,0,0,6.38,43.48
2012-10-03 05:00:00,None,278.62,0.0,0.0,1,Clear,sky is clear,2718,1,2012,10,3,5,2,Wednesday,October,40,0,0,0,0,5.47,41.85
2012-10-03 06:00:00,None,278.23,0.0,0.0,1,Clear,sky is clear,5673,1,2012,10,3,6,2,Wednesday,October,40,0,0,1,0,5.08,41.14
2012-10-03 08:00:00,None,278.12,0.0,0.0,1,Clear,sky is clear,6511,1,2012,10,3,8,2,Wednesday,October,40,0,0,1,0,4.97,40.95
2012-10-03 09:00:00,None,282.48,0.0,0.0,1,Clear,sky is clear,5471,1,2012,10,3,9,2,Wednesday,October,40,0,0,1,0,9.33,48.79
2012-10-03 12:00:00,None,291.97,0.0,0.0,1,Clear,sky is clear,5097,1,2012,10,3,12,2,Wednesday,October,40,0,0,0,0,18.82,65.88
2012-10-03 13:00:00,None,293.23,0.0,0.0,1,Clear,sky is clear,4887,1,2012,10,3,13,2,Wednesday,October,40,0,0,0,0,20.08,68.14
2012-10-03 14:00:00,None,294.31,0.0,0.0,1,Clear,sky is clear,5337,1,2012,10,3,14,2,Wednesday,October,40,0,0,0,0,21.16,70.09
2012-10-03 15:00:00,None,295.17,0.0,0.0,1,Clear,sky is clear,5692,1,2012,10,3,15,2,Wednesday,October,40,0,0,0,1,22.02,71.64
2012-10-03 16:00:00,None,295.13,0.0,0.0,1,Clear,sky is clear,6137,1,2012,10,3,16,2,Wednesday,October,40,0,0,0,1,21.98,71.56
2012-10-03 18:00:00,None,293.66,0.0,0.0,20,Clouds,few clouds,4623,1,2012,10,3,18,2,Wednesday,October,40,0,0,0,1,20.51,68.92
2012-10-03 19:00:00,None,290.65,0.0,0.0,20,Clouds,few clouds,3591,1,2012,10,3,19,2,Wednesday,October,40,0,0,0,0,17.5,63.5
2012-10-03 20:00:00,None,288.19,0.0,0.0,20,Clouds,few clouds,2898,1,2012,10,3,20,2,Wednesday,October,40,0,0,0,0,15.04,59.07
2012-10-03 21:00:00,None,287.1,0.0,0.0,1,Clear,sky is clear,2637,1,2012,10,3,21,2,Wednesday,October,40,0,0,0,0,13.95,57.11
2012-10-03 22:00:00,None,286.25,0.0,0.0,1,Clear,sky is clear,1777,1,2012,10,3,22,2,Wednesday,October,40,0,0,0,0,13.1,55.58
2012-10-03 23:00:00,None,285.26,0.0,0.0,1,Clear,sky is clear,1015,1,2012,10,3,23,2,Wednesday,October,40,0,0,0,0,12.11,53.8
2012-10-04 00:00:00,None,284.55,0.0,0.0,1,Clear,sky is clear,598,1,2012,10,4,0,3,Thursday,October,40,0,0,0,0,11.4,52.52
2012-10-04 01:00:00,None,283.47,0.0,0.0,1,Clear,sky is clear,369,1,2012,10,4,1,3,Thursday,October,40,0,0,0,0,10.32,50.58
2012-10-04 02:00:00,None,283.17,0.0,0.0,1,Clear,sky is clear,312,1,2012,10,4,2,3,Thursday,October,40,0,0,0,0,10.02,50.04
2012-10-04 03:00:00,None,282.04,0.0,0.0,1,Clear,sky is clear,367,1,2012,10,4,3,3,Thursday,October,40,0,0,0,0,8.89,48.0
2012-10-04 04:00:00,None,281.69,0.0,0.0,1,Clear,sky is clear,835,1,2012,10,4,4,3,Thursday,October,40,0,0,0,0,8.54,47.37
2012-10-04 05:00:00,None,281.32,0.0,0.0,1,Clear,sky is clear,2726,1,2012,10,4,5,3,Thursday,October,40,0,0,0,0,8.17,46.71
2012-10-04 06:00:00,None,280.74,0.0,0.0,1,Clear,sky is clear,5689,1,2012,10,4,6,3,Thursday,October,40,0,0,1,0,7.59,45.66
2012-10-04 07:00:00,None,280.57,0.0,0.0,1,Clear,sky is clear,6990,1,2012,10,4,7,3,Thursday,October,40,0,0,1,0,7.42,45.36
2012-10-04 08:00:00,None,281.86,0.0,0.0,1,Clear,sky is clear,5985,1,2012,10,4,8,3,Thursday,October,40,0,0,1,0,8.71,47.68
2012-10-04 09:00:00,None,284.98,0.0,0.0,1,Clear,sky is clear,5309,1,2012,10,4,9,3,Thursday,October,40,0,0,1,0,11.83,53.29
2012-10-04 10:00:00,None,289.18,0.0,0.0,1,Clear,sky is clear,4603,1,2012,10,4,10,3,Thursday,October,40,0,0,0,0,16.03,60.85
2012-10-04 11:00:00,None,291.55,0.0,0.0,1,Clear,sky is clear,4884,1,2012,10,4,11,3,Thursday,October,40,0,0,0,0,18.4,65.12
2012-10-04 12:00:00,None,294.97,0.0,0.0,1,Clear,sky is clear,5104,1,2012,10,4,12,3,Thursday,October,40,0,0,0,0,21.82,71.28
2012-10-04 13:00:00,None,296.38,0.0,0.0,1,Clear,sky is clear,5178,1,2012,10,4,13,3,Thursday,October,40,0,0,0,0,23.23,73.81
2012-10-04 14:00:00,None,297.32,0.0,0.0,1,Clear,sky is clear,5501,1,2012,10,4,14,3,Thursday,October,40,0,0,0,0,24.17,75.51
2012-10-04 15:00:00,None,298.17,0.0,0.0,1,Clear,sky is clear,5713,1,2012,10,4,15,3,Thursday,October,40,0,0,0,1,25.02,77.04
2012-10-04 16:00:00,None,298.06,0.0,0.0,20,Clouds,few clouds,6292,1,2012,10,4,16,3,Thursday,October,40,0,0,0,1,24.91,76.84
2012-10-04 17:00:00,None,297.67,0.0,0.0,20,Clouds,few clouds,6057,1,2012,10,4,17,3,Thursday,October,40,0,0,0,1,24.52,76.14
2012-10-04 18:00:00,None,296.36,0.0,0.0,40,Clouds,scattered clouds,4907,1,2012,10,4,18,3,Thursday,October,40,0,0,0,1,23.21,73.78
2012-10-04 19:00:00,None,293.85,0.0,0.0,40,Clouds,scattered clouds,3503,1,2012,10,4,19,3,Thursday,October,40,0,0,0,0,20.7,69.26
